,gtrend,ILI
2010-10-10,25,1.95412
2010-10-17,21,2.15266
2010-10-24,25,2.24173
2010-10-31,21,1.91748
2010-11-07,20,2.52326
2010-11-14,24,2.74562
2010-11-21,24,2.81963
2010-11-28,19,3.16132
2010-12-05,23,2.60631
2010-12-12,19,3.05613
2010-12-19,14,3.6598
2010-12-26,18,4.62077
2011-01-02,15,4.6895
2011-01-09,22,3.56213
2011-01-16,29,3.79325
2011-01-23,31,4.02689
2011-01-30,38,4.60501
2011-02-06,32,4.33983
2011-02-13,32,4.88711
2011-02-20,32,5.07162
2011-02-27,34,5.17402
2011-03-06,25,5.00087
2011-03-13,20,4.69447
2011-03-20,21,4.4379
2011-03-27,22,3.29703
2011-04-03,15,3.2
2011-04-10,17,2.64683
2011-04-17,14,2.57193
2011-04-24,12,2.24199
2011-05-01,15,2.34436
2011-05-08,16,2.14632
2011-05-15,17,2.05279
2011-05-22,13,2.13285
2011-05-29,13,2.10667
2011-06-05,10,2.5765
2011-06-12,6,2.26424
2011-06-19,7,1.84762
2011-06-26,8,1.73298
2011-07-03,5,1.67684
2011-07-10,12,1.68774
2011-07-17,6,1.60432
2011-07-24,8,1.45437
2011-07-31,2,1.35141
2011-08-07,9,0.553292
2011-08-14,8,1.35688
2011-08-21,8,1.1637
2011-08-28,15,1.34833
2011-09-04,13,1.47857
2011-09-11,18,1.60215
2011-09-18,18,1.74891
2011-09-25,19,1.75994
2011-10-02,16,1.84745
2011-10-09,17,1.80295
2011-10-16,20,2.06534
2011-10-23,17,2.38294
2011-10-30,15,2.29128
2011-11-06,18,2.48358
2011-11-13,12,2.1744
2011-11-20,16,2.6274
2011-11-27,24,2.51216
2011-12-04,21,1.6858
2011-12-11,16,2.7037
2011-12-18,13,3.02135
2011-12-25,12,3.60781
2012-01-01,11,4.3531
2012-01-08,20,3.50589
2012-01-15,17,2.94298
2012-01-22,13,2.73705
2012-01-29,21,3.53247
2012-02-05,21,3.85357
2012-02-12,28,3.29788
2012-02-19,27,3.57343
2012-02-26,33,4.20562
2012-03-04,21,3.54025
2012-03-11,28,2.69266
2012-03-18,28,3.12447
2012-03-25,25,2.83205
2012-04-01,18,3.89886
2012-04-08,25,2.99164
2012-04-15,18,2.87193
2012-04-22,11,2.15102
2012-04-29,21,2.15365
2012-05-06,17,2.36106
2012-05-13,16,2.17778
2012-05-20,16,2.04531
2012-05-27,14,2.22589
2012-06-03,14,2.21439
2012-06-10,11,2.01533
2012-06-17,10,1.81274
2012-06-24,9,2.03814
2012-07-01,10,1.875
2012-07-08,11,1.93357
2012-07-15,12,1.82661
2012-07-22,7,1.69307
2012-07-29,8,1.68499
2012-08-05,8,1.75422
2012-08-12,9,1.61435
2012-08-19,5,1.07686
2012-08-26,10,1.88368
2012-09-02,15,2.0159
2012-09-09,17,2.3227
2012-09-16,20,2.2445
2012-09-23,15,2.43955
2012-09-30,16,2.40973
2012-10-07,20,2.10133
2012-10-14,22,2.26502
2012-10-21,18,2.35697
2012-10-28,19,2.37177
2012-11-04,22,2.45736
2012-11-11,18,2.56157
2012-11-18,13,2.51209
2012-11-25,19,2.73042
2012-12-02,23,2.56313
2012-12-09,23,2.45937
2012-12-16,15,2.70899
2012-12-23,17,3.37338
2012-12-30,30,5.49621
2013-01-06,76,3.62306
2013-01-13,100,3.7083
2013-01-20,82,4.98923
2013-01-27,69,5.83965
2013-02-03,62,6.10146
2013-02-10,28,5.4357
2013-02-17,35,4.86921
2013-02-24,32,4.14831
2013-03-03,37,3.70949
2013-03-10,26,3.98337
2013-03-17,19,3.45064
2013-03-24,17,3.237
2013-03-31,16,2.96289
2013-04-07,20,2.50403
2013-04-14,20,1.97829
2013-04-21,18,1.82625
2013-04-28,16,1.7337
2013-05-05,16,1.6856
2013-05-12,13,1.62542
2013-05-19,17,1.69397
2013-05-26,12,1.59179
2013-06-02,12,1.52385
2013-06-09,12,1.54648
2013-06-16,8,1.58567
2013-06-23,9,1.59109
2013-06-30,5,1.41541
2013-07-07,8,1.43255
2013-07-14,8,1.25056
2013-07-21,5,1.30391
2013-07-28,5,1.3224
2013-08-04,11,1.22818
2013-08-11,9,1.32131
2013-08-18,7,1.21946
2013-08-25,10,1.19376
2013-09-01,17,1.53035
2013-09-08,15,1.63164
2013-09-15,17,1.70543
2013-09-22,21,1.67839
2013-09-29,17,1.94581
2013-10-06,22,1.52479
2013-10-13,20,1.75269
2013-10-20,23,1.74662
2013-10-27,21,1.77965
2013-11-03,23,1.99307
2013-11-10,20,2.29774
2013-11-17,18,2.29161
2013-11-24,17,2.13404
2013-12-01,17,2.59558
2013-12-08,24,2.32553
2013-12-15,27,2.77058
2013-12-22,22,3.1557
2013-12-29,46,5.10491
2014-01-05,76,5.1101
2014-01-12,70,4.61744
2014-01-19,67,4.57287
2014-01-26,73,5.04872
2014-02-02,46,4.28707
2014-02-09,42,3.83781
2014-02-16,26,3.46235
2014-02-23,22,3.38719
2014-03-02,22,3.03955
2014-03-09,19,2.72134
2014-03-16,17,2.31375
2014-03-23,11,2.39688
2014-03-30,11,1.99261
2014-04-06,12,2.01378
2014-04-13,9,1.84637
2014-04-20,13,1.87291
2014-04-27,8,1.83302
2014-05-04,10,1.69241
2014-05-11,9,1.72803
2014-05-18,11,1.80206
2014-05-25,8,2.0838
2014-06-01,8,1.86448
2014-06-08,7,1.88064
2014-06-15,4,1.80584
2014-06-22,5,1.77155
2014-06-29,6,1.76479
