,gtrend,ILI
2010-10-10,9,0.660684
2010-10-17,13,0.628621
2010-10-24,18,0.80402
2010-10-31,34,0.909658
2010-11-07,17,0.9717049999999999
2010-11-14,8,0.719015
2010-11-21,0,0.696032
2010-11-28,16,0.754401
2010-12-05,12,0.8497290000000001
2010-12-12,13,0.809504
2010-12-19,20,0.901601
2010-12-26,9,0.8335030000000001
2011-01-02,23,1.06009
2011-01-09,11,0.919508
2011-01-16,19,1.01411
2011-01-23,32,1.1409799999999999
2011-01-30,34,1.88811
2011-02-06,43,2.52049
2011-02-13,49,2.6377900000000003
2011-02-20,45,2.92775
2011-02-27,25,2.85625
2011-03-06,42,2.67784
2011-03-13,26,2.10423
2011-03-20,5,1.7843099999999998
2011-03-27,11,1.37731
2011-04-03,15,0.9844129999999999
2011-04-10,7,0.896684
2011-04-17,22,0.814396
2011-04-24,20,0.764121
2011-05-01,13,0.909698
2011-05-08,10,0.7595189999999999
2011-05-15,5,0.6043430000000001
2011-05-22,8,0.627459
2011-05-29,15,0.59322
2011-06-05,8,0.55124
2011-06-12,12,0.43386199999999997
2011-06-19,6,0.372321
2011-06-26,8,0.310244
2011-07-03,5,0.250892
2011-07-10,13,0.42277700000000007
2011-07-17,10,0.30888000000000004
2011-07-24,10,0.406306
2011-07-31,0,0.36898400000000003
2011-08-07,10,0.47962899999999997
2011-08-14,8,0.351199
2011-08-21,13,0.392137
2011-08-28,13,0.40142
2011-09-04,18,0.6158779999999999
2011-09-11,22,0.6423979999999999
2011-09-18,15,0.644817
2011-09-25,17,0.727571
2011-10-02,12,0.751578
2011-10-09,27,0.744344
2011-10-16,11,0.567713
2011-10-23,18,0.5724130000000001
2011-10-30,23,0.631621
2011-11-06,21,0.5814239999999999
2011-11-13,14,0.512845
2011-11-20,10,0.703834
2011-11-27,27,0.513353
2011-12-04,22,0.681719
2011-12-11,14,0.691814
2011-12-18,21,0.6956439999999999
2011-12-25,20,0.686738
2012-01-01,11,0.739672
2012-01-08,6,0.652822
2012-01-15,15,0.7128909999999999
2012-01-22,10,0.727438
2012-01-29,21,1.02699
2012-02-05,31,1.00453
2012-02-12,24,1.05944
2012-02-19,25,1.05263
2012-02-26,46,1.36395
2012-03-04,33,1.43858
2012-03-11,31,1.3706200000000002
2012-03-18,22,1.47807
2012-03-25,15,1.19068
2012-04-01,29,0.864606
2012-04-08,19,0.923766
2012-04-15,6,0.733014
2012-04-22,12,0.598441
2012-04-29,12,0.6313489999999999
2012-05-06,12,0.5988020000000001
2012-05-13,6,0.48608
2012-05-20,9,0.6247
2012-05-27,9,0.372593
2012-06-03,4,0.475391
