,gtrend,ILI
2010-10-10,21,1.28205
2010-10-17,22,1.45089
2010-10-24,0,1.56607
2010-10-31,34,1.45762
2010-11-07,13,1.4893
2010-11-14,21,1.55392
2010-11-21,15,1.63242
2010-11-28,12,1.81669
2010-12-05,15,1.62132
2010-12-12,17,1.85288
2010-12-19,19,2.05097
2010-12-26,12,3.09033
2011-01-02,20,3.55156
2011-01-09,14,2.99071
2011-01-16,33,3.28357
2011-01-23,36,4.03462
2011-01-30,25,4.71879
2011-02-06,40,4.9683
2011-02-13,39,4.23328
2011-02-20,38,4.04362
2011-02-27,37,3.85922
2011-03-06,33,3.6953
2011-03-13,22,3.19015
2011-03-20,21,3.373
2011-03-27,15,2.63603
2011-04-03,9,2.55181
2011-04-10,14,2.15318
2011-04-17,11,1.57063
2011-04-24,4,1.72191
2011-05-01,10,1.52495
2011-05-08,10,1.34804
2011-05-15,8,1.59068
2011-05-22,7,1.19695
2011-05-29,11,1.23846
2011-06-05,5,1.68385
2011-06-12,8,1.2613
2011-06-19,5,1.10723
2011-06-26,6,1.06486
2011-07-03,4,1.24786
2011-07-10,3,1.5216
2011-07-17,3,0.822823
2011-07-24,6,1.14027
2011-07-31,3,1.18249
2011-08-07,9,1.39115
2011-08-14,7,1.01159
2011-08-21,8,1.14914
2011-08-28,14,1.21631
2011-09-04,12,1.3125
2011-09-11,22,1.41258
2011-09-18,17,1.33621
2011-09-25,17,1.93042
2011-10-02,22,1.53657
2011-10-09,13,1.83997
2011-10-16,16,1.64447
2011-10-23,5,1.65353
2011-10-30,15,1.69384
2011-11-06,12,1.7088
2011-11-13,15,1.64647
2011-11-20,8,1.76848
2011-11-27,17,2.03392
2011-12-04,11,1.71415
2011-12-11,4,1.62628
2011-12-18,9,2.09914
2011-12-25,10,2.14258
2012-01-01,12,2.68846
2012-01-08,14,2.20216
2012-01-15,9,1.86664
2012-01-22,9,2.08198
2012-01-29,12,2.06257
2012-02-05,12,2.4577
2012-02-12,19,2.40434
2012-02-19,28,2.92657
2012-02-26,19,3.36853
2012-03-04,44,3.38003
2012-03-11,38,3.94913
2012-03-18,21,4.66875
2012-03-25,22,3.37912
2012-04-01,22,2.44384
2012-04-08,13,2.32242
2012-04-15,24,2.2553
2012-04-22,10,1.98418
2012-04-29,17,1.93371
2012-05-06,18,1.79573
2012-05-13,9,1.38429
2012-05-20,10,1.41021
2012-05-27,4,1.41798
2012-06-03,7,1.50898
2012-06-10,6,1.40542
2012-06-17,8,1.10976
2012-06-24,4,1.15051
2012-07-01,5,1.20623
2012-07-08,7,1.24848
2012-07-15,7,1.18019
2012-07-22,4,1.19658
2012-07-29,8,1.22362
2012-08-05,7,1.58305
2012-08-12,6,1.27548
2012-08-19,8,1.19505
2012-08-26,10,1.34114
2012-09-02,15,1.47584
2012-09-09,9,1.59901
2012-09-16,11,1.66453
2012-09-23,11,1.63744
2012-09-30,11,1.65217
2012-10-07,14,1.58214
2012-10-14,12,1.69269
2012-10-21,11,1.71016
2012-10-28,15,1.72181
2012-11-04,11,1.89033
2012-11-11,24,2.02857
2012-11-18,14,1.99806
2012-11-25,19,2.32818
2012-12-02,37,2.39121
2012-12-09,40,3.22268
2012-12-16,53,4.239
2012-12-23,50,5.07826
2012-12-30,54,6.27165
2013-01-06,100,5.05566
2013-01-13,66,4.34811
2013-01-20,45,3.88902
2013-01-27,39,3.54367
2013-02-03,35,3.50275
2013-02-10,35,3.12585
2013-02-17,23,3.05967
2013-02-24,23,2.55517
2013-03-03,22,2.81471
2013-03-10,21,2.62175
2013-03-17,20,3.03716
2013-03-24,21,2.64034
2013-03-31,18,2.44904
2013-04-07,11,2.31881
2013-04-14,11,1.89672
2013-04-21,10,1.82598
2013-04-28,7,1.69867
2013-05-05,14,1.64719
2013-05-12,7,1.61373
2013-05-19,3,1.89015
2013-05-26,7,1.42293
2013-06-02,4,1.58659
2013-06-09,3,1.57555
2013-06-16,3,1.64654
2013-06-23,5,1.37145
2013-06-30,4,1.21819
2013-07-07,4,1.17423
2013-07-14,5,1.16156
2013-07-21,4,0.96345
2013-07-28,8,0.991386
2013-08-04,6,0.949602
2013-08-11,11,0.902903
2013-08-18,6,1.07404
2013-08-25,9,0.941708
2013-09-01,14,1.03193
2013-09-08,13,1.18983
2013-09-15,9,1.37006
2013-09-22,17,1.45643
2013-09-29,10,1.43988
2013-10-06,9,1.41144
2013-10-13,14,1.52682
2013-10-20,13,1.60253
2013-10-27,19,1.73267
2013-11-03,18,1.84818
2013-11-10,15,1.79131
2013-11-17,13,1.80678
2013-11-24,22,1.93023
2013-12-01,20,2.33875
2013-12-08,18,2.38091
2013-12-15,28,2.78107
2013-12-22,36,3.00035
2013-12-29,46,4.50831
2014-01-05,48,4.44242
2014-01-12,44,3.44904
2014-01-19,38,2.99557
2014-01-26,33,2.81371
2014-02-02,33,2.31313
2014-02-09,20,2.09311
2014-02-16,17,2.02027
2014-02-23,18,2.07339
2014-03-02,18,2.04208
2014-03-09,12,1.849
2014-03-16,12,1.98314
2014-03-23,6,1.75208
2014-03-30,7,2.03628
2014-04-06,8,1.96344
2014-04-13,7,1.95187
2014-04-20,7,1.78886
2014-04-27,7,1.86204
2014-05-04,6,1.7144
2014-05-11,6,1.99132
2014-05-18,6,1.63255
2014-05-25,3,1.73257
2014-06-01,4,1.56121
2014-06-08,2,1.48708
2014-06-15,1,1.42806
2014-06-22,3,1.40261
2014-06-29,2,1.08399
2014-07-06,2,0.875356
2014-07-13,3,0.898938
2014-07-20,4,0.826602
2014-07-27,2,0.788524
2014-08-03,3,0.770412
2014-08-10,2,0.810804
2014-08-17,2,0.79646
2014-08-24,4,0.993506
2014-08-31,5,0.850544
2014-09-07,7,1.17051
2014-09-14,7,1.87919
2014-09-21,9,1.80433
2014-09-28,12,1.59832
2014-10-05,12,1.47637
2014-10-12,15,1.4802
2014-10-19,14,1.64143
2014-10-26,10,1.59675
2014-11-02,12,1.74722
2014-11-09,10,1.95543
2014-11-16,14,2.16649
2014-11-23,20,2.55336
2014-11-30,23,3.8006
2014-12-07,40,4.50272
2014-12-14,58,5.69394
2014-12-21,49,5.97552
2014-12-28,36,5.59515
2015-01-04,18,4.32647
2015-01-11,18,3.07323
2015-01-18,18,2.31324
2015-01-25,13,2.21313
2015-02-01,14,2.28888
2015-02-08,16,2.34961
2015-02-15,10,2.37306
2015-02-22,12,2.37467
2015-03-01,18,2.41691
2015-03-08,17,2.60679
2015-03-15,20,2.62478
2015-03-22,22,2.80325
2015-03-29,33,2.92099
2015-04-05,24,2.87552
2015-04-12,30,2.45215
2015-04-19,15,2.02342
2015-04-26,12,1.85577
2015-05-03,11,1.75137
2015-05-10,8,1.63577
2015-05-17,7,1.50995
2015-05-24,9,1.49161
2015-05-31,6,1.28484
2015-06-07,4,1.39058
2015-06-14,3,1.26708
2015-06-21,5,1.07415
2015-06-28,3,1.24446
2015-07-05,3,1.11324
2015-07-12,3,1.04587
2015-07-19,3,1.02889
2015-07-26,4,1.0008
