,gtrend,ILI
2010-10-10,10,1.6049
2010-10-17,9,1.71307
2010-10-24,8,2.01249
2010-10-31,6,2.38747
2010-11-07,9,2.65614
2010-11-14,14,3.41305
2010-11-21,4,4.55518
2010-11-28,10,5.4632
2010-12-05,11,3.48178
2010-12-12,8,4.4896199999999995
2010-12-19,7,6.30401
2010-12-26,4,7.27884
2011-01-02,9,6.06827
2011-01-09,2,4.82214
2011-01-16,9,4.11148
2011-01-23,7,3.5207599999999997
2011-01-30,5,4.366709999999999
2011-02-06,11,4.79551
2011-02-13,9,4.87195
2011-02-20,9,4.71214
2011-02-27,8,4.05653
2011-03-06,7,2.82145
2011-03-13,6,2.36845
2011-03-20,4,2.1587099999999997
2011-03-27,2,1.76585
2011-04-03,5,1.6404599999999998
2011-04-10,5,1.52942
2011-04-17,5,1.33095
2011-04-24,3,1.32493
2011-05-01,4,1.35877
2011-05-08,5,1.30999
2011-05-15,7,1.4542899999999999
2011-05-22,1,1.57802
2011-05-29,2,1.24069
2011-06-05,2,1.3207799999999998
2011-06-12,1,0.9657479999999999
2011-06-19,4,0.817922
2011-06-26,3,0.667853
2011-07-03,1,0.607222
2011-07-10,3,0.744043
2011-07-17,3,0.598637
2011-07-24,2,0.513128
2011-07-31,3,0.629303
2011-08-07,2,0.690295
2011-08-14,6,0.807668
2011-08-21,4,0.9114540000000001
2011-08-28,1,1.19306
2011-09-04,5,1.1908
2011-09-11,3,1.4935100000000001
2011-09-18,6,1.3952
2011-09-25,5,1.30154
2011-10-02,6,1.6361
2011-10-09,4,1.4885
2011-10-16,8,1.47743
2011-10-23,6,1.3028899999999999
2011-10-30,7,1.38503
2011-11-06,5,1.62884
2011-11-13,4,1.7363400000000002
2011-11-20,4,1.53357
2011-11-27,6,2.12336
2011-12-04,3,1.5674
2011-12-11,6,1.82293
2011-12-18,2,2.33955
2011-12-25,1,3.56635
2012-01-01,4,3.5751800000000005
2012-01-08,2,2.44657
2012-01-15,5,1.6819099999999998
2012-01-22,4,1.9247400000000001
2012-01-29,3,1.8684
2012-02-05,5,2.1074599999999997
2012-02-12,8,2.00977
2012-02-19,5,2.06283
2012-02-26,6,1.1764299999999999
2012-03-04,8,2.01304
2012-03-11,6,1.92451
2012-03-18,6,2.26454
2012-03-25,7,1.92018
2012-04-01,5,1.80723
2012-04-08,3,1.62493
2012-04-15,4,1.4451100000000001
2012-04-22,5,1.37667
2012-04-29,6,1.0140200000000001
2012-05-06,2,0.650388
2012-05-13,2,0.685379
2012-05-20,1,0.827498
2012-05-27,3,1.5661
2012-06-03,3,1.6129
2012-06-10,2,1.23034
2012-06-17,3,1.16573
2012-06-24,3,0.8795280000000001
2012-07-01,4,0.830607
2012-07-08,1,0.9812290000000001
2012-07-15,4,0.820068
2012-07-22,2,0.8426969999999999
2012-07-29,1,0.851801
2012-08-05,3,0.777749
2012-08-12,4,1.0099200000000002
2012-08-19,2,1.10938
2012-08-26,3,1.4053
2012-09-02,3,1.3046799999999998
2012-09-09,5,0.787488
2012-09-16,4,0.83772
2012-09-23,6,0.775279
2012-09-30,5,0.8441299999999999
2012-10-07,5,0.95134
2012-10-14,7,1.16844
2012-10-21,4,1.0419399999999999
2012-10-28,7,1.24957
2012-11-04,7,1.29223
2012-11-11,8,1.8225900000000002
2012-11-18,4,2.44775
2012-11-25,9,3.24457
2012-12-02,13,3.26126
2012-12-09,8,4.1396
2012-12-16,9,4.747380000000001
2012-12-23,10,5.03625
2012-12-30,10,5.18475
2013-01-06,11,4.14659
2013-01-13,15,3.55827
2013-01-20,9,2.92425
2013-01-27,9,2.3223700000000003
2013-02-03,7,2.45549
2013-02-10,9,2.495
2013-02-17,8,2.2694
2013-02-24,8,2.4042
2013-03-03,11,2.39994
2013-03-10,10,2.6169700000000002
2013-03-17,8,2.1634
2013-03-24,7,1.8007
2013-03-31,6,1.73544
2013-04-07,3,1.40911
2013-04-14,7,1.0082
2013-04-21,3,0.941882
2013-04-28,4,0.631108
2013-05-05,2,0.571364
2013-05-12,4,0.7707430000000001
2013-05-19,4,0.6122609999999999
2013-05-26,3,0.636416
2013-06-02,3,0.5229689999999999
2013-06-09,2,0.38824200000000003
2013-06-16,4,0.381727
2013-06-23,3,0.363967
2013-06-30,4,0.283298
2013-07-07,3,0.370136
2013-07-14,2,0.230965
2013-07-21,2,0.22454200000000002
2013-07-28,2,0.327948
2013-08-04,1,0.268397
2013-08-11,5,0.307167
2013-08-18,3,0.358171
2013-08-25,5,0.48257
2013-09-01,7,0.481037
2013-09-08,6,0.5856560000000001
2013-09-15,8,0.630374
2013-09-22,4,0.702136
2013-09-29,10,0.695063
2013-10-06,7,1.00692
2013-10-13,8,0.971469
2013-10-20,7,1.01722
2013-10-27,7,1.1974
2013-11-03,5,1.4410399999999999
2013-11-10,6,1.57451
2013-11-17,6,1.66375
2013-11-24,4,1.9944099999999998
2013-12-01,8,2.73349
2013-12-08,7,2.7549799999999998
2013-12-15,8,2.71505
2013-12-22,8,4.04705
2013-12-29,8,5.37386
2014-01-05,7,3.5802099999999997
2014-01-12,9,2.28367
2014-01-19,8,2.0011900000000002
2014-01-26,7,1.84772
2014-02-02,20,1.8826
2014-02-09,7,1.33199
2014-02-16,8,1.33795
2014-02-23,7,0.8294360000000001
2014-03-02,7,0.9020469999999999
2014-03-09,8,0.814624
2014-03-16,8,0.629599
2014-03-23,14,0.667277
2014-03-30,13,0.6377010000000001
2014-04-06,13,0.583182
2014-04-13,9,0.35791799999999996
2014-04-20,11,0.361294
2014-04-27,15,0.48135200000000006
2014-05-04,5,0.36579
2014-05-11,9,0.314309
2014-05-18,9,0.306577
2014-05-25,1,0.289491
2014-06-01,10,0.24099
2014-06-08,6,0.244993
2014-06-15,7,0.154143
2014-06-22,4,0.031736
2014-06-29,1,0.029061299999999998
2014-07-06,5,0.08554989999999998
2014-07-13,6,0.0951336
2014-07-20,7,0.142664
2014-07-27,5,0.0963891
2014-08-03,7,0.120376
2014-08-10,5,0.15631099999999998
2014-08-17,5,0.17552
2014-08-24,15,0.18575899999999998
2014-08-31,5,0.176866
2014-09-07,9,0.19084
2014-09-14,8,0.26178
2014-09-21,13,0.189054
2014-09-28,17,0.220719
2014-10-05,12,0.396825
2014-10-12,18,0.500595
2014-10-19,14,0.5359430000000001
2014-10-26,15,0.679822
2014-11-02,16,0.769458
2014-11-09,12,1.26756
2014-11-16,25,1.72023
2014-11-23,9,2.89243
2014-11-30,31,3.9770800000000004
2014-12-07,17,4.63476
2014-12-14,29,5.48925
2014-12-21,28,6.2816
2014-12-28,24,7.812930000000001
2015-01-04,20,2.36888
2015-01-11,30,3.11618
2015-01-18,24,2.1301099999999997
2015-01-25,23,2.36744
2015-02-01,18,2.21998
2015-02-08,30,2.03713
2015-02-15,17,1.99984
2015-02-22,19,2.7822400000000003
2015-03-01,26,2.63795
2015-03-08,17,2.3822900000000002
2015-03-15,13,1.97436
2015-03-22,12,1.57449
2015-03-29,18,1.55379
2015-04-05,9,1.42425
2015-04-12,13,1.19306
2015-04-19,14,0.9896379999999999
2015-04-26,10,0.7140479999999999
2015-05-03,12,0.879014
2015-05-10,13,1.0538100000000001
2015-05-17,10,1.23519
2015-05-24,2,1.1996
2015-05-31,7,1.09596
2015-06-07,14,0.867792
2015-06-14,6,0.775844
2015-06-21,23,0.548729
2015-06-28,8,0.624879
2015-07-05,5,0.674737
2015-07-12,9,0.602795
2015-07-19,3,0.5129100000000001
2015-07-26,11,0.489649
2015-08-02,8,0.504657
2015-08-09,5,0.440072
2015-08-16,6,0.682938
2015-08-23,7,0.8008270000000001
2015-08-30,10,0.940312
2015-09-06,5,1.0934700000000002
2015-09-13,11,1.27579
2015-09-20,15,1.04745
2015-09-27,16,1.1717600000000001
2015-10-04,14,1.4079899999999999
2015-10-11,15,1.4234
2015-10-18,14,1.17165
2015-10-25,20,1.03207
2015-11-01,8,0.8478209999999999
2015-11-08,13,1.07349
2015-11-15,8,1.01664
2015-11-22,7,1.25685
2015-11-29,6,1.5575700000000001
2015-12-06,11,1.11751
2015-12-13,11,1.2995700000000001
2015-12-20,9,2.13077
2015-12-27,7,2.6336
2016-01-03,7,1.97743
2016-01-10,8,1.56396
2016-01-17,9,1.53293
2016-01-24,15,1.7129900000000002
2016-01-31,10,1.8345099999999999
2016-02-07,7,1.81663
2016-02-14,18,1.83585
2016-02-21,20,2.3420099999999997
2016-02-28,17,2.60638
