,gtrend,ILI
2010-10-10,10,1.13505
2010-10-17,9,1.2525600000000001
2010-10-24,8,1.2457
2010-10-31,6,1.2677399999999999
2010-11-07,9,1.43723
2010-11-14,14,1.53341
2010-11-21,4,1.69445
2010-11-28,10,1.9915
2010-12-05,11,1.81305
2010-12-12,8,2.0142599999999997
2010-12-19,7,2.5565900000000004
2010-12-26,4,3.38185
2011-01-02,9,3.43172
2011-01-09,2,2.69151
2011-01-16,9,2.91063
2011-01-23,7,3.49232
2011-01-30,5,4.0037
2011-02-06,11,4.43534
2011-02-13,9,4.24215
2011-02-20,9,4.39719
2011-02-27,8,3.90256
2011-03-06,7,3.15073
2011-03-13,6,2.72422
2011-03-20,4,2.33336
2011-03-27,2,1.925
2011-04-03,5,1.75243
2011-04-10,5,1.57704
2011-04-17,5,1.35766
2011-04-24,3,1.31223
2011-05-01,4,1.14937
2011-05-08,5,1.1145100000000001
2011-05-15,7,1.10984
2011-05-22,1,1.0524
2011-05-29,2,1.03536
2011-06-05,2,1.1177700000000002
2011-06-12,1,0.982949
2011-06-19,4,0.9251940000000001
2011-06-26,3,0.8355309999999999
2011-07-03,1,0.832393
2011-07-10,3,0.855591
2011-07-17,3,0.7069489999999999
2011-07-24,2,0.694387
2011-07-31,3,0.687976
2011-08-07,2,0.6447430000000001
2011-08-14,6,0.67533
2011-08-21,4,0.72823
2011-08-28,1,0.8065260000000001
2011-09-04,5,0.860408
2011-09-11,3,0.936075
2011-09-18,6,0.966683
2011-09-25,5,0.996007
2011-10-02,6,1.10846
2011-10-09,4,1.20345
2011-10-16,8,1.23777
2011-10-23,6,1.2525899999999999
2011-10-30,7,1.30546
2011-11-06,5,1.45295
2011-11-13,4,1.44089
2011-11-20,4,1.46221
2011-11-27,6,1.65573
2011-12-04,3,1.4660600000000001
2011-12-11,6,1.51811
2011-12-18,2,1.66429
2011-12-25,1,1.85274
2012-01-01,4,2.12413
2012-01-08,2,1.76709
2012-01-15,5,1.5434
2012-01-22,4,1.64762
2012-01-29,3,1.6843
2012-02-05,5,1.8635400000000002
2012-02-12,8,1.86408
2012-02-19,5,2.01839
2012-02-26,6,2.10385
2012-03-04,8,2.09555
2012-03-11,6,2.10398
2012-03-18,6,2.2941
2012-03-25,7,1.9222299999999999
2012-04-01,5,1.74239
2012-04-08,3,1.6760099999999998
2012-04-15,4,1.49637
2012-04-22,5,1.38202
2012-04-29,6,1.28926
2012-05-06,2,1.3580299999999998
2012-05-13,2,1.30833
2012-05-20,1,1.26692
2012-05-27,3,1.27731
2012-06-03,3,1.2991
2012-06-10,2,1.16297
2012-06-17,3,1.08612
2012-06-24,3,1.0568
2012-07-01,4,1.07871
2012-07-08,1,1.04662
2012-07-15,4,0.9281520000000001
2012-07-22,2,0.9019360000000001
2012-07-29,1,0.915356
2012-08-05,3,0.952548
2012-08-12,4,0.9166610000000001
2012-08-19,2,0.9017870000000001
2012-08-26,3,1.03315
2012-09-02,3,1.0523799999999999
2012-09-09,5,1.12713
2012-09-16,4,1.1866
2012-09-23,6,1.21415
2012-09-30,5,1.2519799999999999
2012-10-07,5,1.20559
2012-10-14,7,1.31929
2012-10-21,4,1.3273700000000002
2012-10-28,7,1.3668799999999999
2012-11-04,7,1.50535
2012-11-11,8,1.61273
2012-11-18,4,1.7520799999999999
2012-11-25,9,2.33365
2012-12-02,13,2.2268
2012-12-09,8,2.97657
2012-12-16,9,3.62552
2012-12-23,10,4.5532
2012-12-30,10,6.025980000000001
2013-01-06,11,4.96368
2013-01-13,15,4.69072
2013-01-20,9,4.7047300000000005
2013-01-27,9,4.1646
2013-02-03,7,3.6953300000000002
2013-02-10,9,3.2363
2013-02-17,8,2.8942099999999997
2013-02-24,8,2.71742
2013-03-03,11,2.52297
2013-03-10,10,2.55227
2013-03-17,8,2.43225
2013-03-24,7,2.10851
2013-03-31,6,1.94725
2013-04-07,3,1.74859
2013-04-14,7,1.4971299999999998
2013-04-21,3,1.32313
2013-04-28,4,1.2264700000000002
2013-05-05,2,1.19614
2013-05-12,4,1.19049
2013-05-19,4,1.17426
2013-05-26,3,1.13342
2013-06-02,3,1.14306
2013-06-09,2,1.00881
2013-06-16,4,1.02358
2013-06-23,3,1.00138
2013-06-30,4,0.9094979999999999
2013-07-07,3,0.950042
2013-07-14,2,0.829299
2013-07-21,2,0.802109
2013-07-28,2,0.806333
2013-08-04,1,0.796937
2013-08-11,5,0.7791359999999999
2013-08-18,3,0.797653
2013-08-25,5,0.825485
2013-09-01,7,0.9354690000000001
2013-09-08,6,1.04345
2013-09-15,8,1.09107
2013-09-22,4,1.20108
2013-09-29,10,1.26179
2013-10-06,7,1.13249
2013-10-13,8,1.2112100000000001
2013-10-20,7,1.25682
2013-10-27,7,1.37097
2013-11-03,5,1.42956
2013-11-10,6,1.53588
2013-11-17,6,1.60267
2013-11-24,4,1.7326700000000002
2013-12-01,8,2.09858
2013-12-08,7,2.21374
2013-12-15,8,2.4167400000000003
2013-12-22,8,3.03071
2013-12-29,8,4.38724
2014-01-05,7,4.2112
2014-01-12,9,3.4649199999999998
2014-01-19,8,3.3169800000000005
2014-01-26,7,3.2407
2014-02-02,20,2.88598
2014-02-09,7,2.6217200000000003
2014-02-16,8,2.3406700000000003
2014-02-23,7,2.12059
2014-03-02,7,1.91094
2014-03-09,8,1.9023
2014-03-16,8,1.7661900000000001
2014-03-23,14,1.85791
2014-03-30,13,1.8209400000000002
2014-04-06,13,1.83453
2014-04-13,9,1.75446
2014-04-20,11,1.51636
2014-04-27,15,1.40334
2014-05-04,5,1.2593
2014-05-11,9,1.32482
2014-05-18,9,1.27576
2014-05-25,1,1.29483
2014-06-01,10,1.2261
2014-06-08,6,1.1453799999999998
2014-06-15,7,1.0678
2014-06-22,4,1.07269
2014-06-29,1,1.01298
2014-07-06,5,0.994705
2014-07-13,6,0.880862
2014-07-20,7,0.858173
2014-07-27,5,0.8051520000000001
2014-08-03,7,0.8187810000000001
2014-08-10,5,0.7837350000000001
2014-08-17,5,0.8487030000000001
2014-08-24,15,0.8341459999999999
2014-08-31,5,0.9059809999999999
2014-09-07,9,1.04506
2014-09-14,8,1.16816
2014-09-21,13,1.27649
2014-09-28,17,1.29758
2014-10-05,12,1.20612
2014-10-12,18,1.32485
2014-10-19,14,1.41192
2014-10-26,15,1.42547
2014-11-02,16,1.43909
2014-11-09,12,1.61532
2014-11-16,25,1.6647299999999998
2014-11-23,9,2.0058
2014-11-30,31,2.62227
2014-12-07,17,2.6074900000000003
2014-12-14,29,3.4178
2014-12-21,28,4.46555
2014-12-28,24,6.11497
2015-01-04,20,5.3097900000000005
2015-01-11,30,4.0789800000000005
2015-01-18,24,3.93762
2015-01-25,23,4.15076
2015-02-01,18,3.87899
2015-02-08,30,3.4579400000000002
2015-02-15,17,3.06359
2015-02-22,19,2.82646
2015-03-01,26,2.3599
2015-03-08,17,2.33472
2015-03-15,13,2.21286
2015-03-22,12,2.07619
2015-03-29,18,2.01267
2015-04-05,9,1.94192
2015-04-12,13,1.7480900000000001
2015-04-19,14,1.50367
2015-04-26,10,1.4349399999999999
2015-05-03,12,1.4567299999999999
2015-05-10,13,1.42836
2015-05-17,10,1.35297
2015-05-24,2,1.33093
2015-05-31,7,1.2842200000000001
2015-06-07,14,1.13889
2015-06-14,6,1.10343
2015-06-21,23,0.9707479999999999
2015-06-28,8,0.9986809999999999
2015-07-05,5,0.978057
2015-07-12,9,0.866431
2015-07-19,3,0.827757
2015-07-26,11,0.7975720000000001
2015-08-02,8,0.811221
2015-08-09,5,0.8211649999999999
2015-08-16,6,0.819435
2015-08-23,7,0.8480409999999999
2015-08-30,10,0.888524
2015-09-06,5,0.9628260000000001
2015-09-13,11,1.02252
2015-09-20,15,1.08392
2015-09-27,16,1.17724
2015-10-04,14,1.1716
2015-10-11,15,1.24325
2015-10-18,14,1.3234
2015-10-25,20,1.40399
2015-11-01,8,1.37629
2015-11-08,13,1.46866
2015-11-15,8,1.5330000000000001
2015-11-22,7,1.6084100000000001
2015-11-29,6,1.90047
2015-12-06,11,1.73645
2015-12-13,11,1.81945
2015-12-20,9,1.9657099999999998
2015-12-27,7,2.42021
2016-01-03,7,2.41083
2016-01-10,8,1.98859
2016-01-17,9,1.98985
2016-01-24,15,2.1071
2016-01-31,10,2.19256
2016-02-07,7,2.3001400000000003
2016-02-14,18,2.6757400000000002
2016-02-21,20,3.02427
2016-02-28,17,3.11328
2016-03-06,15,3.3278800000000004
2016-03-13,20,3.5918
2016-03-20,8,3.09262
2016-03-27,19,2.78803
2016-04-03,15,2.52371
2016-04-10,11,2.12928
2016-04-17,20,2.0514200000000002
2016-04-24,12,1.98957
2016-05-01,6,1.7858
2016-05-08,8,1.60144
2016-05-15,8,1.4743
2016-05-22,10,1.42286
2016-05-29,4,1.38196
2016-06-05,4,1.33712
2016-06-12,5,1.13894
2016-06-19,6,1.09641
2016-06-26,5,0.999559
2016-07-03,3,0.99095
2016-07-10,5,0.9312530000000001
2016-07-17,6,0.843118
2016-07-24,7,0.8402860000000001
2016-07-31,2,0.8300649999999999
2016-08-07,4,0.790428
2016-08-14,5,0.8308260000000001
2016-08-21,5,0.8567959999999999
2016-08-28,4,1.00746
2016-09-04,7,1.0586799999999998
2016-09-11,9,1.10028
2016-09-18,13,1.1457
2016-09-25,4,1.2189
2016-10-02,13,1.31113
2016-10-09,6,1.27386
2016-10-16,15,1.29342
2016-10-23,4,1.33097
2016-10-30,11,1.42662
2016-11-06,14,1.57071
2016-11-13,12,1.65146
2016-11-20,6,1.7330900000000002
2016-11-27,17,2.03388
2016-12-04,17,1.8833099999999998
2016-12-11,14,2.00292
2016-12-18,21,2.27731
2016-12-25,14,2.91465
2017-01-01,9,3.5491900000000003
2017-01-08,10,3.08102
2017-01-15,20,3.01875
2017-01-22,17,3.40446
2017-01-29,25,3.52869
2017-02-05,23,4.10665
2017-02-12,25,4.7551
2017-02-19,30,4.65163
2017-02-26,22,4.57049
2017-03-05,17,3.4552199999999997
2017-03-12,15,3.29505
2017-03-19,22,3.16426
2017-03-26,19,3.14433
2017-04-02,22,2.8793599999999997
2017-04-09,14,2.36977
2017-04-16,6,1.9385299999999999
2017-04-23,6,1.64064
2017-04-30,6,1.4752
2017-05-07,9,1.37755
2017-05-14,4,1.33771
2017-05-21,8,1.34686
2017-05-28,3,1.26579
2017-06-04,8,1.25701
2017-06-11,7,1.16048
2017-06-18,6,1.04834
2017-06-25,7,0.992711
2017-07-02,10,0.9616030000000001
2017-07-09,10,0.9558180000000001
2017-07-16,6,0.8275969999999999
2017-07-23,5,0.811886
2017-07-30,7,0.818527
2017-08-06,8,0.829758
2017-08-13,11,0.8285030000000001
2017-08-20,11,0.8858959999999999
2017-08-27,11,1.05351
2017-09-03,11,1.11768
2017-09-10,7,1.14028
2017-09-17,7,1.13326
2017-09-24,11,1.1758899999999999
2017-10-01,9,1.23848
2017-10-08,10,1.2802
2017-10-15,15,1.33123
2017-10-22,13,1.4078600000000001
2017-10-29,11,1.5722
2017-11-05,12,1.7032599999999998
2017-11-12,16,1.8663599999999998
2017-11-19,8,2.07647
2017-11-26,13,2.33593
2017-12-03,12,2.24637
2017-12-10,12,2.49504
2017-12-17,10,3.2005
2017-12-24,13,4.43807
2017-12-31,14,5.46361
2018-01-07,39,5.35765
2018-01-14,43,5.524369999999999
2018-01-21,60,6.345280000000001
2018-01-28,100,7.018110000000001
2018-02-04,54,7.7809
2018-02-11,47,7.76939
2018-02-18,29,6.8117600000000005
2018-02-25,17,5.15749
2018-03-04,15,3.55945
2018-03-11,9,3.0051799999999997
2018-03-18,17,2.73038
2018-03-25,14,2.47768
2018-04-01,8,2.36314
2018-04-08,16,2.03139
2018-04-15,10,1.8037599999999998
2018-04-22,11,1.58696
2018-04-29,10,1.53801
2018-05-06,6,1.44974
2018-05-13,3,1.27729
2018-05-20,10,1.22051
2018-05-27,3,1.23235
2018-06-03,6,1.2229999999999999
2018-06-10,7,1.0473
2018-06-17,5,0.9781129999999999
2018-06-24,6,0.947548
2018-07-01,6,0.867554
2018-07-08,5,0.8232799999999999
2018-07-15,5,0.771497
2018-07-22,7,0.706819
2018-07-29,4,0.6851550000000001
2018-08-05,4,0.687351
2018-08-12,4,0.735733
2018-08-19,10,0.806048
2018-08-26,9,0.9440129999999999
2018-09-02,11,0.960101
2018-09-09,3,1.1412799999999999
2018-09-16,12,1.14784
2018-09-23,10,1.31156
2018-09-30,12,1.26102
2018-10-07,12,1.41965
2018-10-14,9,1.4735200000000002
2018-10-21,8,1.5865799999999999
2018-10-28,10,1.7418099999999999
2018-11-04,12,1.8399900000000002
2018-11-11,13,1.9283700000000001
2018-11-18,7,2.0960799999999997
2018-11-25,11,2.41198
