,gtrend,ILI
2010-10-10,17,2.31534
2010-10-17,8,2.47836
2010-10-24,8,2.24812
2010-10-31,8,2.7928599999999997
2010-11-07,8,1.82877
2010-11-14,17,2.2031
2010-11-21,27,2.1371599999999997
2010-11-28,16,2.41758
2010-12-05,25,2.6011599999999997
2010-12-12,8,2.65371
2010-12-19,18,3.20073
2010-12-26,27,4.6438
2011-01-02,25,4.9135800000000005
2011-01-09,19,3.9527099999999997
2011-01-16,51,4.97268
2011-01-23,75,5.12435
2011-01-30,18,5.902909999999999
2011-02-06,57,5.5993
2011-02-13,19,5.86393
2011-02-20,19,6.113919999999999
2011-02-27,25,6.69849
2011-03-06,25,5.74113
2011-03-13,34,5.05526
2011-03-20,12,4.6885900000000005
2011-03-27,6,3.41036
2011-04-03,6,4.6067800000000005
2011-04-10,6,3.39574
2011-04-17,13,2.7467099999999998
2011-04-24,20,2.79318
2011-05-01,13,2.76842
2011-05-08,20,2.0108099999999998
2011-05-15,25,2.22222
2011-05-22,20,2.69103
2011-05-29,7,2.94975
2011-06-05,19,2.5283900000000004
2011-06-12,12,2.77982
2011-06-19,26,3.07871
2011-06-26,13,2.93454
2011-07-03,14,0.8851379999999999
2011-07-10,13,0.278035
2011-07-17,26,0.22669299999999998
2011-07-24,12,0.10741099999999999
2011-07-31,6,0.282486
2011-08-07,6,0.376921
2011-08-14,6,0.725295
2011-08-21,12,0.374208
2011-08-28,19,0.288517
2011-09-04,6,0.262536
2011-09-11,6,0.3003
2011-09-18,35,0.318979
2011-09-25,29,0.458891
2011-10-02,36,0.577327
2011-10-09,11,0.8926940000000001
2011-10-16,29,0.786838
2011-10-23,23,0.849558
2011-10-30,30,0.800712
2011-11-06,35,1.1003100000000001
2011-11-13,35,1.0040200000000001
2011-11-20,25,1.21234
2011-11-27,23,1.40955
2011-12-04,33,1.10861
2011-12-11,34,1.1077700000000001
2011-12-18,17,1.10917
2011-12-25,12,0.643678
2012-01-01,43,0.621891
2012-01-08,10,1.05178
2012-01-15,36,0.5754020000000001
2012-01-22,41,0.785512
2012-01-29,37,0.758214
2012-02-05,26,0.807918
2012-02-12,42,0.8131659999999999
2012-02-19,21,0.816933
2012-02-26,21,0.838095
2012-03-04,38,0.975707
2012-03-11,22,1.34273
2012-03-18,16,0.885591
2012-03-25,31,0.9573200000000001
2012-04-01,0,0.801221
2012-04-08,34,1.15403
2012-04-15,22,0.8476469999999999
2012-04-22,16,0.9783940000000001
2012-04-29,21,0.7499060000000001
2012-05-06,0,1.02529
2012-05-13,16,0.440222
2012-05-20,21,0.509793
2012-05-27,21,0.164204
2012-06-03,15,0.279764
2012-06-10,0,0.0912686
2012-06-17,5,0.152532
2012-06-24,0,0.14139300000000002
2012-07-01,6,0.153092
2012-07-08,15,0.343495
2012-07-15,10,0.057653499999999996
2012-07-22,0,0.0359195
2012-07-29,5,0.193517
2012-08-05,0,0.11500899999999999
2012-08-12,11,0.054884699999999995
2012-08-19,5,0.0512295
2012-08-26,15,0.331492
2012-09-02,15,0.466563
2012-09-09,16,0.609537
2012-09-16,30,0.65872
2012-09-23,36,0.699913
2012-09-30,30,0.795837
2012-10-07,30,1.36904
2012-10-14,20,1.7053599999999998
2012-10-21,24,1.39434
2012-10-28,19,1.45544
2012-11-04,11,1.2773700000000001
2012-11-11,20,1.80709
2012-11-18,10,1.39585
2012-11-25,17,1.3644100000000001
2012-12-02,29,2.2386
2012-12-09,34,2.2145
2012-12-16,45,2.1556900000000003
2012-12-23,38,3.8497199999999996
2012-12-30,45,5.44188
2013-01-06,100,5.001869999999999
2013-01-13,82,4.94719
2013-01-20,84,5.61734
2013-01-27,46,4.94037
2013-02-03,67,4.63762
2013-02-10,45,4.45368
2013-02-17,37,4.79113
2013-02-24,28,3.44288
2013-03-03,57,2.78825
2013-03-10,22,3.74782
2013-03-17,36,3.21132
2013-03-24,14,2.8529299999999997
2013-03-31,24,2.76671
2013-04-07,14,2.25873
2013-04-14,33,1.8645900000000002
2013-04-21,28,0.997195
2013-04-28,23,1.6389799999999999
2013-05-05,18,1.83739
2013-05-12,9,1.4581899999999999
2013-05-19,22,1.8075400000000001
2013-05-26,23,1.56784
2013-06-02,26,1.52316
2013-06-09,26,1.33617
2013-06-16,4,1.47947
2013-06-23,0,1.7500799999999999
2013-06-30,13,1.7208400000000001
2013-07-07,8,0.11061900000000001
2013-07-14,12,1.21655
2013-07-21,19,1.24601
2013-07-28,0,0.883281
2013-08-04,4,1.36849
2013-08-11,12,2.13599
2013-08-18,12,1.21781
2013-08-25,16,1.14529
2013-09-01,8,1.34721
2013-09-08,7,0.9018860000000001
2013-09-15,21,0.896861
2013-09-22,26,1.12296
2013-09-29,18,0.911906
2013-10-06,42,1.51614
2013-10-13,8,1.49528
2013-10-20,22,1.75227
2013-10-27,4,1.7351599999999998
2013-11-03,19,1.66137
2013-11-10,22,1.60633
2013-11-17,11,1.5635
2013-11-24,20,1.9928299999999999
2013-12-01,18,2.30253
2013-12-08,23,1.99525
2013-12-15,16,1.32384
2013-12-22,26,1.9594900000000002
2013-12-29,39,2.32845
2014-01-05,42,3.74359
2014-01-12,23,3.19855
2014-01-19,44,3.25342
2014-01-26,22,2.5623299999999998
2014-02-02,23,3.5718699999999997
2014-02-09,15,3.41817
2014-02-16,19,3.3458099999999997
2014-02-23,18,2.5706700000000002
2014-03-02,19,2.72978
2014-03-09,16,2.75766
2014-03-16,15,2.67035
2014-03-23,16,2.77386
2014-03-30,10,3.27521
2014-04-06,19,2.90237
2014-04-13,16,3.34845
2014-04-20,17,2.87107
2014-04-27,23,2.188
2014-05-04,13,2.03609
2014-05-11,10,2.38206
2014-05-18,17,2.30849
2014-05-25,13,2.03737
2014-06-01,8,2.6713299999999998
2014-06-08,9,2.3233599999999996
2014-06-15,7,2.2069400000000003
2014-06-22,4,1.94622
2014-06-29,3,1.78492
2014-07-06,5,1.37905
2014-07-13,5,1.2843799999999999
2014-07-20,11,1.06916
2014-07-27,9,1.2407299999999999
2014-08-03,3,1.08446
2014-08-10,5,1.25285
2014-08-17,16,0.8838379999999999
2014-08-24,7,0.990574
2014-08-31,8,1.24827
2014-09-07,16,1.12265
2014-09-14,13,1.29467
2014-09-21,18,1.74856
2014-09-28,22,1.7381400000000002
2014-10-05,25,1.4055
2014-10-12,25,2.17104
2014-10-19,24,1.60945
2014-10-26,18,1.8615099999999998
2014-11-02,27,1.57613
2014-11-09,19,1.6093899999999999
2014-11-16,15,1.7626700000000002
2014-11-23,13,2.1392900000000004
2014-11-30,24,1.9280400000000002
2014-12-07,31,2.0331
2014-12-14,24,2.25696
2014-12-21,29,3.31837
2014-12-28,41,4.33593
2015-01-04,35,3.75445
2015-01-11,38,3.62311
2015-01-18,40,3.3428699999999996
2015-01-25,30,4.97434
2015-02-01,19,4.80625
2015-02-08,21,3.53148
2015-02-15,20,3.8961
2015-02-22,16,3.03839
2015-03-01,11,4.0146
2015-03-08,23,2.53917
2015-03-15,16,2.24284
2015-03-22,14,2.88725
2015-03-29,18,2.44113
2015-04-05,13,1.87555
2015-04-12,10,1.57618
2015-04-19,18,1.60819
2015-04-26,13,1.8738
2015-05-03,9,1.6005
2015-05-10,5,1.60158
2015-05-17,9,1.35915
