,gtrend,ILI
2010-10-10,17,0.551334
2010-10-17,24,0.6240760000000001
2010-10-24,0,0.48484799999999995
2010-10-31,23,0.751771
2010-11-07,24,0.764895
2010-11-14,15,0.775305
2010-11-21,17,0.657895
2010-11-28,30,1.0638299999999998
2010-12-05,15,0.718276
2010-12-12,32,0.980101
2010-12-19,19,1.3949799999999999
2010-12-26,18,2.0603700000000003
2011-01-02,18,2.2970900000000003
2011-01-09,13,1.22262
2011-01-16,26,1.6450599999999997
2011-01-23,26,1.9035900000000001
2011-01-30,13,2.11458
2011-02-06,22,1.6229
2011-02-13,34,2.25032
2011-02-20,34,2.5634
2011-02-27,21,1.81037
2011-03-06,29,1.91172
2011-03-13,13,2.09194
2011-03-20,27,1.625
2011-03-27,9,1.64474
2011-04-03,26,1.28979
2011-04-10,30,1.0082200000000001
2011-04-17,18,0.965873
2011-04-24,17,1.07246
2011-05-01,17,0.959752
2011-05-08,30,0.924745
2011-05-15,13,0.929924
2011-05-22,0,1.07901
2011-05-29,26,0.6458189999999999
2011-06-05,26,0.814053
2011-06-12,9,0.575595
2011-06-19,0,1.07849
2011-06-26,0,1.29577
2011-07-03,0,0.780814
2011-07-10,9,0.648088
2011-07-17,9,0.5574140000000001
2011-07-24,9,0.312663
2011-07-31,9,0.5420050000000001
2011-08-07,9,0.448934
2011-08-14,18,0.48413100000000003
2011-08-21,12,0.383693
2011-08-28,8,0.35934299999999997
2011-09-04,8,0.484914
2011-09-11,12,0.561167
2011-09-18,8,1.05332
2011-09-25,15,1.14144
2011-10-02,15,0.750268
2011-10-09,11,0.264473
2011-10-16,11,0.67861
2011-10-23,33,0.5826859999999999
2011-10-30,11,0.581751
2011-11-06,11,0.680828
2011-11-13,22,0.46641800000000005
2011-11-20,17,0.921502
2011-11-27,23,1.4647700000000001
2011-12-04,11,0.846785
2011-12-11,15,0.556638
2011-12-18,33,1.2535399999999999
2011-12-25,8,1.72481
2012-01-01,12,1.25433
2012-01-08,21,1.24555
2012-01-15,23,0.716662
2012-01-22,28,1.2901
2012-01-29,11,1.39747
2012-02-05,21,0.964467
2012-02-12,24,1.10165
2012-02-19,28,1.74752
2012-02-26,29,1.3885
2012-03-04,15,1.7178799999999999
2012-03-11,45,1.6591599999999997
2012-03-18,29,2.01274
2012-03-25,31,3.66636
2012-04-01,25,1.94405
2012-04-08,15,0.86135
2012-04-15,27,2.05532
2012-04-22,11,0.8125359999999999
2012-04-29,33,1.0344799999999998
2012-05-06,15,0.872347
2012-05-13,31,0.680904
2012-05-20,18,0.67402
2012-05-27,19,0.48185
2012-06-03,28,0.6224069999999999
2012-06-10,19,0.6405930000000001
2012-06-17,8,0.725191
2012-06-24,8,0.713861
2012-07-01,8,0.5303479999999999
2012-07-08,8,0.293902
2012-07-15,8,0.26441
2012-07-22,8,0.383387
2012-07-29,11,0.344116
2012-08-05,8,0.18495699999999998
2012-08-12,8,0.453662
2012-08-19,8,0.316056
2012-08-26,26,0.28530700000000003
2012-09-02,16,0.453172
2012-09-09,21,0.46118400000000004
2012-09-16,14,0.67981
2012-09-23,13,0.793651
2012-09-30,20,0.686342
2012-10-07,0,0.365059
2012-10-14,13,0.7536930000000001
2012-10-21,19,0.774749
2012-10-28,13,0.708383
2012-11-04,10,0.801233
2012-11-11,21,0.6622520000000001
2012-11-18,23,0.44004399999999994
2012-11-25,20,0.366151
2012-12-02,14,0.421257
2012-12-09,21,1.07246
2012-12-16,7,1.8076900000000002
2012-12-23,18,0.9531069999999999
2012-12-30,33,3.7758800000000003
2013-01-06,69,2.78761
2013-01-13,100,2.67185
2013-01-20,51,3.23712
