,gtrend,ILI
2010-10-10,32,0.26299
2010-10-17,33,0.369729
2010-10-24,34,0.362121
2010-10-31,33,0.358981
2010-11-07,29,0.527357
2010-11-14,28,0.5047560000000001
2010-11-21,23,0.503441
2010-11-28,27,0.54919
2010-12-05,19,1.62591
2010-12-12,14,2.1629
2010-12-19,23,2.68099
2010-12-26,21,3.84844
2011-01-02,23,4.19925
2011-01-09,24,2.87699
2011-01-16,28,3.4510699999999996
2011-01-23,29,3.07852
2011-01-30,30,3.35509
2011-02-06,36,4.0441199999999995
2011-02-13,38,3.89805
2011-02-20,28,4.0366800000000005
2011-02-27,27,3.7433199999999998
2011-03-06,28,2.72493
2011-03-13,16,2.7215
2011-03-20,21,3.02193
2011-03-27,22,2.3114
2011-04-03,22,2.02105
2011-04-10,14,2.22854
2011-04-17,17,2.3652
2011-04-24,10,2.23407
2011-05-01,13,1.3564200000000002
2011-05-08,13,1.66576
2011-05-15,16,1.7210599999999998
2011-05-22,12,0.703443
2011-05-29,13,1.56349
2011-06-05,11,1.77814
2011-06-12,11,0.14752
2011-06-19,8,0.0909091
2011-06-26,10,0.134901
2011-07-03,8,0.13616
2011-07-10,8,0.0538358
2011-07-17,7,0.0580608
2011-07-24,4,0.145591
2011-07-31,6,0.137255
2011-08-07,9,0.17105
2011-08-14,11,0.125418
2011-08-21,4,0.131926
2011-08-28,13,0.0888099
2011-09-04,13,0.157159
2011-09-11,14,0.15275899999999998
2011-09-18,16,0.127805
2011-09-25,15,0.282595
2011-10-02,19,0.323494
2011-10-09,17,0.532345
2011-10-16,21,0.5534680000000001
2011-10-23,27,0.44068500000000005
2011-10-30,19,0.41135
2011-11-06,13,0.527118
2011-11-13,20,0.399433
2011-11-20,18,0.443537
2011-11-27,18,0.36716
2011-12-04,20,0.61654
2011-12-11,12,0.696024
2011-12-18,18,0.58086
2011-12-25,16,0.49133699999999997
2012-01-01,18,0.455005
2012-01-08,16,0.657054
2012-01-15,12,0.719363
2012-01-22,20,0.6694
2012-01-29,19,0.509789
2012-02-05,18,0.593152
2012-02-12,19,0.508223
2012-02-19,19,0.5861069999999999
2012-02-26,21,0.9886780000000001
2012-03-04,25,0.7858689999999999
2012-03-11,18,0.7456689999999999
2012-03-18,15,0.996782
2012-03-25,22,0.686682
2012-04-01,17,0.598435
2012-04-08,14,0.7961779999999999
2012-04-15,13,0.8126329999999999
2012-04-22,11,0.689763
2012-04-29,17,0.6653680000000001
2012-05-06,14,0.46507
2012-05-13,16,0.557581
2012-05-20,18,0.5608390000000001
2012-05-27,9,0.416259
2012-06-03,12,0.394802
2012-06-10,10,0.291215
2012-06-17,8,0.16384500000000002
2012-06-24,10,0.224875
2012-07-01,7,0.155581
2012-07-08,11,0.29796
2012-07-15,10,0.13872
2012-07-22,7,0.12497799999999999
2012-07-29,9,0.0886682
2012-08-05,9,0.170487
2012-08-12,6,0.092302
2012-08-19,7,0.12504500000000002
2012-08-26,10,0.061208900000000004
2012-09-02,14,0.083692
2012-09-09,17,0.11776800000000001
2012-09-16,20,0.173953
2012-09-23,20,0.108998
2012-09-30,24,0.283052
2012-10-07,25,0.293219
2012-10-14,23,0.572891
2012-10-21,21,1.0028299999999999
2012-10-28,15,0.778846
2012-11-04,17,0.633484
2012-11-11,21,0.832931
2012-11-18,22,0.991707
2012-11-25,30,1.7047700000000001
2012-12-02,33,1.6770900000000002
2012-12-09,43,2.11123
2012-12-16,38,3.03139
2012-12-23,34,3.62908
2012-12-30,41,5.952380000000001
2013-01-06,100,3.9963800000000003
2013-01-13,75,4.13807
2013-01-20,47,4.538119999999999
2013-01-27,26,4.06893
2013-02-03,28,2.9484
2013-02-10,24,2.7859
2013-02-17,26,3.3921699999999997
2013-02-24,27,3.48492
2013-03-03,28,2.67505
2013-03-10,19,2.3843400000000003
2013-03-17,16,2.70502
2013-03-24,18,2.2772
2013-03-31,28,1.6205
2013-04-07,23,1.58092
2013-04-14,18,1.33984
2013-04-21,17,1.4714200000000002
2013-04-28,11,1.19106
2013-05-05,12,0.979474
2013-05-12,13,0.859476
2013-05-19,16,0.830614
2013-05-26,9,0.6789310000000001
2013-06-02,12,1.1989100000000001
2013-06-09,6,0.8932770000000001
2013-06-16,9,0.881857
2013-06-23,7,0.564902
2013-06-30,7,0.6066159999999999
2013-07-07,9,0.8262950000000001
2013-07-14,9,0.635846
2013-07-21,10,0.449186
2013-07-28,11,0.7847529999999999
2013-08-04,7,0.43209
2013-08-11,5,0.5617979999999999
2013-08-18,10,0.367747
2013-08-25,10,0.455093
2013-09-01,14,0.396396
2013-09-08,20,0.347315
2013-09-15,19,0.32359
2013-09-22,23,0.38431
2013-09-29,21,0.266016
2013-10-06,20,0.582589
2013-10-13,26,0.552562
2013-10-20,21,0.573782
2013-10-27,16,0.753849
2013-11-03,20,0.7195630000000001
2013-11-10,15,0.8504870000000001
2013-11-17,25,0.809817
2013-11-24,15,0.915243
2013-12-01,19,0.990182
2013-12-08,27,0.958767
2013-12-15,18,1.03744
2013-12-22,19,1.35515
2013-12-29,27,2.99457
2014-01-05,34,2.97304
2014-01-12,31,1.99698
2014-01-19,38,2.8084599999999997
2014-01-26,37,2.91725
2014-02-02,19,3.1379799999999998
2014-02-09,29,3.6535900000000003
2014-02-16,24,2.90014
2014-02-23,24,1.8887900000000002
2014-03-02,19,1.54231
2014-03-09,19,1.78227
2014-03-16,22,1.9047
2014-03-23,16,2.19795
2014-03-30,21,2.73789
2014-04-06,19,3.06605
2014-04-13,19,3.09776
2014-04-20,15,2.37233
2014-04-27,18,1.5094299999999998
2014-05-04,15,1.5965200000000002
2014-05-11,13,1.3619999999999999
2014-05-18,9,1.32629
2014-05-25,10,1.06975
2014-06-01,8,0.9058879999999999
2014-06-08,3,1.02176
2014-06-15,8,1.2822799999999999
2014-06-22,5,1.0805200000000001
2014-06-29,6,0.8630770000000001
2014-07-06,5,0.96
2014-07-13,2,0.662061
2014-07-20,8,0.7849
2014-07-27,6,0.633318
2014-08-03,10,0.790175
2014-08-10,9,0.585309
2014-08-17,4,0.552118
2014-08-24,9,0.44935699999999995
2014-08-31,11,0.5302060000000001
2014-09-07,14,0.33771100000000004
2014-09-14,14,0.6456649999999999
2014-09-21,12,0.8354879999999999
2014-09-28,17,0.796167
2014-10-05,23,0.693823
2014-10-12,20,0.6090810000000001
2014-10-19,21,0.76846
2014-10-26,21,0.872553
2014-11-02,17,0.9517700000000001
2014-11-09,15,1.10596
2014-11-16,14,1.11014
2014-11-23,13,1.38222
2014-11-30,17,1.84683
2014-12-07,20,1.41337
2014-12-14,30,1.6457099999999998
2014-12-21,25,2.65033
2014-12-28,37,6.18794
2015-01-04,37,4.54991
2015-01-11,39,4.20694
2015-01-18,22,5.391
2015-01-25,24,5.58831
2015-02-01,28,6.32707
2015-02-08,21,6.694719999999999
2015-02-15,21,5.7074300000000004
2015-02-22,18,4.024769999999999
2015-03-01,18,2.72662
2015-03-08,13,2.51903
2015-03-15,15,1.8082
2015-03-22,18,2.28283
2015-03-29,17,2.15005
2015-04-05,19,2.7072
2015-04-12,12,2.46135
2015-04-19,15,1.91507
2015-04-26,15,1.4716
2015-05-03,12,1.5869799999999998
2015-05-10,13,1.8077
2015-05-17,9,1.18835
2015-05-24,9,1.3621
2015-05-31,11,1.64894
2015-06-07,6,1.80865
2015-06-14,6,1.2451
2015-06-21,2,0.441726
2015-06-28,6,0.8231139999999999
2015-07-05,5,1.23305
2015-07-12,6,1.31579
2015-07-19,5,1.17908
2015-07-26,7,0.900576
2015-08-02,6,1.36986
2015-08-09,6,1.5036200000000002
2015-08-16,6,1.4878200000000001
2015-08-23,8,0.839793
2015-08-30,9,1.27684
2015-09-06,11,0.708316
2015-09-13,8,0.690934
2015-09-20,18,1.23784
2015-09-27,17,1.01226
2015-10-04,14,0.426954
2015-10-11,12,0.588433
2015-10-18,16,0.557203
2015-10-25,17,0.85962
2015-11-01,14,0.816171
2015-11-08,9,0.6556649999999999
2015-11-15,6,0.723665
2015-11-22,11,1.18498
2015-11-29,19,0.97867
2015-12-06,16,1.1818
2015-12-13,11,1.51335
2015-12-20,10,1.25511
2015-12-27,14,2.1465099999999997
2016-01-03,14,1.97842
2016-01-10,10,1.15723
2016-01-17,11,2.56989
2016-01-24,13,1.90067
2016-01-31,17,1.6013
2016-02-07,22,1.7329
2016-02-14,17,2.7164200000000003
2016-02-21,28,1.7666400000000002
2016-02-28,30,2.83297
