,gtrend,ILI
2010-10-10,9,2.06514
2010-10-17,41,2.0939400000000004
2010-10-24,17,2.10072
2010-10-31,33,2.20655
2010-11-07,22,2.36381
2010-11-14,19,2.51778
2010-11-21,24,2.24622
2010-11-28,34,2.5986599999999997
2010-12-05,16,2.56617
2010-12-12,30,2.40335
2010-12-19,9,2.84097
2010-12-26,15,3.87315
2011-01-02,22,3.40711
2011-01-09,33,3.21248
2011-01-16,38,4.05996
2011-01-23,42,4.7320199999999994
2011-01-30,32,5.9343900000000005
2011-02-06,34,6.68052
2011-02-13,45,8.12867
2011-02-20,48,8.265189999999999
2011-02-27,40,6.66045
2011-03-06,47,4.58565
2011-03-13,21,3.68025
2011-03-20,23,2.84749
2011-03-27,21,3.1125
2011-04-03,24,2.13536
2011-04-10,19,1.8321599999999998
2011-04-17,14,1.67025
2011-04-24,16,1.66212
2011-05-01,13,1.4454
2011-05-08,6,1.6271799999999998
2011-05-15,9,1.7883
2011-05-22,6,1.43878
2011-05-29,9,1.18284
2011-06-05,2,1.4721899999999999
2011-06-12,3,1.0381
2011-06-19,3,1.2039799999999998
2011-06-26,7,1.09499
2011-07-03,8,1.44139
2011-07-10,13,1.0991600000000001
2011-07-17,9,1.11008
2011-07-24,8,0.794791
2011-07-31,11,0.9279149999999999
2011-08-07,14,0.947032
2011-08-14,10,0.820541
2011-08-21,5,0.965857
2011-08-28,9,1.01165
2011-09-04,6,1.43408
2011-09-11,17,1.7298099999999998
2011-09-18,26,1.6581099999999998
2011-09-25,14,1.60235
2011-10-02,22,1.4147
2011-10-09,14,1.8671200000000001
2011-10-16,22,1.67872
2011-10-23,15,2.03903
2011-10-30,17,2.0272099999999997
2011-11-06,17,1.87592
2011-11-13,23,2.08825
2011-11-20,11,2.17252
2011-11-27,23,2.21466
2011-12-04,23,2.01649
2011-12-11,20,1.89337
2011-12-18,12,2.0866700000000002
2011-12-25,13,2.27904
2012-01-01,13,2.32308
2012-01-08,11,1.97471
2012-01-15,13,2.1558
2012-01-22,17,2.30727
2012-01-29,25,2.25494
2012-02-05,27,2.52889
2012-02-12,21,2.65401
2012-02-19,22,2.95371
2012-02-26,21,3.23367
2012-03-04,33,3.3250599999999997
2012-03-11,26,2.87245
2012-03-18,15,3.5936199999999996
2012-03-25,17,2.79685
2012-04-01,13,2.7007
2012-04-08,25,2.5217
2012-04-15,19,2.13492
2012-04-22,13,2.16547
2012-04-29,24,2.0598799999999997
2012-05-06,16,2.09649
2012-05-13,17,2.0889
2012-05-20,13,2.2620299999999998
2012-05-27,13,2.19944
2012-06-03,13,2.95784
2012-06-10,8,1.60563
2012-06-17,16,1.5692
2012-06-24,5,1.68002
2012-07-01,5,2.77603
2012-07-08,5,1.85638
