,gtrend,ILI
2010-10-10,9,0.46502200000000005
2010-10-17,17,0.581832
2010-10-24,8,1.18822
2010-10-31,12,1.0104899999999999
2010-11-07,17,1.09649
2010-11-14,16,1.03383
2010-11-21,19,1.12402
2010-11-28,4,0.978261
2010-12-05,20,1.27081
2010-12-12,4,1.27947
2010-12-19,10,0.661686
2010-12-26,24,0.6935939999999999
2011-01-02,18,1.38822
2011-01-09,3,0.801901
2011-01-16,15,0.842289
2011-01-23,15,1.2470299999999999
2011-01-30,19,2.37759
2011-02-06,17,2.9898700000000002
2011-02-13,9,2.93542
2011-02-20,24,2.81324
2011-02-27,19,2.76498
2011-03-06,19,3.19263
2011-03-13,27,3.1289599999999997
2011-03-20,12,3.7175800000000003
2011-03-27,17,1.02041
2011-04-03,9,1.29545
2011-04-10,9,1.00159
2011-04-17,5,0.79756
2011-04-24,5,0.251397
2011-05-01,19,0.440529
2011-05-08,5,0.42125
2011-05-15,2,0.227661
2011-05-22,3,0.524292
2011-05-29,5,0.41021
2011-06-05,5,0.421496
2011-06-12,8,0.12172899999999999
2011-06-19,3,0.11135899999999999
2011-06-26,3,0.395604
2011-07-03,0,0.42714799999999997
2011-07-10,5,0.29188600000000003
2011-07-17,0,0.29301
2011-07-24,2,0.157563
2011-07-31,0,0.262329
2011-08-07,2,0.0478011
2011-08-14,0,0.231267
2011-08-21,0,0.111919
2011-08-28,5,0.31914899999999996
2011-09-04,2,0.287356
2011-09-11,14,0.21533200000000002
2011-09-18,7,0.21103400000000003
2011-09-25,7,0.519781
2011-10-02,14,0.501771
2011-10-09,7,0.763807
2011-10-16,2,0.410628
2011-10-23,7,0.61546
2011-10-30,11,0.899101
2011-11-06,6,0.383828
2011-11-13,4,0.7173970000000001
2011-11-20,5,0.6772600000000001
2011-11-27,10,0.8970530000000001
2011-12-04,8,0.91417
2011-12-11,10,0.8942260000000001
2011-12-18,7,0.708475
2011-12-25,5,1.00935
2012-01-01,6,0.902335
2012-01-08,10,0.970874
2012-01-15,6,0.7330979999999999
2012-01-22,10,1.22105
2012-01-29,6,1.46199
2012-02-05,17,0.8776459999999999
2012-02-12,18,1.1233
2012-02-19,8,1.12242
2012-02-26,16,1.01394
2012-03-04,16,1.1992399999999999
2012-03-11,19,1.1848299999999998
2012-03-18,17,2.0179400000000003
2012-03-25,10,1.45985
2012-04-01,6,0.6918569999999999
2012-04-08,9,1.4455200000000001
2012-04-15,6,0.5028279999999999
2012-04-22,10,0.713908
2012-04-29,5,0.37614200000000003
2012-05-06,13,0.518269
2012-05-13,8,0.380849
2012-05-20,2,0.31948899999999997
2012-05-27,0,0.171013
2012-06-03,5,0.34965
2012-06-10,2,0.14211300000000002
2012-06-17,10,0.176289
2012-06-24,2,0.512821
2012-07-01,4,0.13947
2012-07-08,3,0.37359899999999996
2012-07-15,7,0.462574
2012-07-22,3,0.158646
2012-07-29,6,0.180668
2012-08-05,6,0.551932
2012-08-12,7,0.646054
2012-08-19,0,0.0
2012-08-26,3,0.0751597
2012-09-02,5,0.0956938
2012-09-09,7,0.200535
2012-09-16,5,0.283213
2012-09-23,12,0.31864000000000003
2012-09-30,10,0.706298
2012-10-07,7,0.8036270000000001
2012-10-14,6,0.686253
2012-10-21,8,0.42909200000000003
2012-10-28,13,0.548176
2012-11-04,12,0.351453
2012-11-11,23,0.408954
2012-11-18,8,0.8389260000000001
2012-11-25,15,1.01373
2012-12-02,21,0.663183
2012-12-09,38,1.41519
2012-12-16,35,1.4616799999999999
2012-12-23,49,2.58314
2012-12-30,67,4.24335
2013-01-06,100,3.99261
2013-01-13,64,3.8992
2013-01-20,42,3.36249
2013-01-27,34,2.7970200000000003
2013-02-03,36,2.69296
2013-02-10,20,1.62695
2013-02-17,21,1.57358
2013-02-24,12,1.40097
2013-03-03,14,0.762361
2013-03-10,16,1.16854
2013-03-17,6,0.638686
2013-03-24,12,1.00223
2013-03-31,9,0.8380719999999999
2013-04-07,10,0.5388189999999999
2013-04-14,10,0.789963
2013-04-21,4,0.506096
2013-04-28,15,0.337458
2013-05-05,7,0.270669
2013-05-12,12,0.163858
2013-05-19,8,0.159744
2013-05-26,3,0.170882
2013-06-02,6,0.428367
2013-06-09,2,0.143524
2013-06-16,0,0.390472
2013-06-23,0,0.22926999999999997
2013-06-30,5,0.192976
2013-07-07,0,0.747012
2013-07-14,2,0.293363
2013-07-21,4,0.116369
2013-07-28,4,0.186776
2013-08-04,4,0.259548
2013-08-11,6,0.24844699999999997
2013-08-18,2,0.29118099999999997
2013-08-25,5,0.2849
2013-09-01,6,0.22328499999999998
2013-09-08,7,0.4
2013-09-15,6,0.194553
2013-09-22,7,0.48426199999999997
2013-09-29,10,0.434888
2013-10-06,7,0.704887
2013-10-13,17,1.06082
2013-10-20,3,0.49245900000000004
2013-10-27,14,0.9453540000000001
2013-11-03,8,0.988609
2013-11-10,12,1.0984200000000002
2013-11-17,11,0.802139
2013-11-24,9,1.1101
2013-12-01,11,1.11873
2013-12-08,15,1.02852
2013-12-15,16,1.69048
2013-12-22,23,1.31054
2013-12-29,20,3.0215799999999997
2014-01-05,24,2.05023
2014-01-12,24,2.11346
2014-01-19,23,2.14545
2014-01-26,21,2.62035
2014-02-02,21,1.56174
2014-02-09,20,2.47756
2014-02-16,21,1.8717
2014-02-23,18,2.24364
2014-03-02,8,2.44775
2014-03-09,10,2.17066
2014-03-16,6,1.95062
2014-03-23,5,2.2929
2014-03-30,5,1.9079700000000002
2014-04-06,7,1.50108
2014-04-13,6,1.9416099999999998
2014-04-20,6,2.13027
2014-04-27,6,1.8217400000000001
2014-05-04,8,1.6639700000000002
2014-05-11,10,2.0954900000000003
2014-05-18,5,1.9346400000000001
2014-05-25,5,2.064
2014-06-01,5,0.142248
2014-06-08,3,0.122951
2014-06-15,3,0.43137299999999995
2014-06-22,1,0.34188
2014-06-29,5,0.393529
2014-07-06,1,0.208877
2014-07-13,4,0.126103
2014-07-20,2,0.5148010000000001
2014-07-27,6,0.397878
2014-08-03,3,0.338983
2014-08-10,5,0.493421
2014-08-17,9,0.123865
2014-08-24,4,0.349498
2014-08-31,8,0.38961
2014-09-07,4,0.460688
2014-09-14,5,0.487465
2014-09-21,11,0.671624
2014-09-28,11,0.689491
2014-10-05,8,0.783875
2014-10-12,11,0.783972
2014-10-19,13,1.00767
2014-10-26,11,1.93198
2014-11-02,6,2.2283
2014-11-09,13,2.3772
2014-11-16,7,2.21648
2014-11-23,8,2.17391
2014-11-30,15,1.74868
2014-12-07,36,2.47511
2014-12-14,47,4.12929
2014-12-21,74,5.76586
2014-12-28,86,7.27175
2015-01-04,62,5.48373
2015-01-11,44,3.7111699999999996
2015-01-18,31,3.28217
2015-01-25,26,2.78228
2015-02-01,17,2.39303
2015-02-08,14,2.4158
2015-02-15,24,2.63659
2015-02-22,18,2.35229
2015-03-01,15,2.52937
2015-03-08,15,2.6482099999999997
2015-03-15,25,2.59362
2015-03-22,18,2.67014
2015-03-29,18,2.26103
2015-04-05,17,2.21438
2015-04-12,25,2.42603
2015-04-19,18,2.06186
2015-04-26,14,2.30737
2015-05-03,14,2.31173
2015-05-10,14,2.09156
2015-05-17,5,2.31875
2015-05-24,8,0.5617979999999999
2015-05-31,6,0.48780500000000004
2015-06-07,2,0.38961
2015-06-14,3,0.313357
2015-06-21,3,0.205592
2015-06-28,3,0.590784
2015-07-05,5,0.143678
2015-07-12,5,0.33003299999999997
2015-07-19,4,0.24844699999999997
2015-07-26,5,0.258956
2015-08-02,3,0.349192
2015-08-09,1,0.20064200000000001
2015-08-16,3,0.22391399999999997
2015-08-23,5,0.208943
2015-08-30,3,0.298507
2015-09-06,7,0.522755
2015-09-13,4,0.320307
2015-09-20,7,0.60551
2015-09-27,8,0.561134
2015-10-04,10,1.30351
2015-10-11,13,1.8958700000000002
2015-10-18,8,1.7285
2015-10-25,7,1.82971
2015-11-01,4,1.56403
2015-11-08,8,1.62839
2015-11-15,4,1.56006
2015-11-22,4,1.61699
2015-11-29,9,2.01622
2015-12-06,8,1.53918
2015-12-13,8,1.25945
2015-12-20,3,1.6161
2015-12-27,8,1.89283
2016-01-03,9,1.79739
2016-01-10,11,1.7437599999999998
2016-01-17,12,1.47809
2016-01-24,8,1.98363
2016-01-31,8,1.34354
2016-02-07,10,1.62109
2016-02-14,16,1.74373
2016-02-21,21,2.16718
2016-02-28,33,2.5566400000000002
2016-03-06,31,2.9807799999999998
2016-03-13,28,3.27547
2016-03-20,18,2.7159
2016-03-27,19,2.61708
2016-04-03,14,2.69445
2016-04-10,13,1.99845
2016-04-17,11,1.78037
2016-04-24,5,2.03978
2016-05-01,10,1.6494099999999998
2016-05-08,5,1.38487
2016-05-15,2,1.61093
2016-05-22,5,2.04325
2016-05-29,5,0.619743
2016-06-05,3,1.9947099999999998
2016-06-12,1,1.77268
2016-06-19,3,1.09439
2016-06-26,3,0.386764
2016-07-03,1,0.274348
2016-07-10,3,0.05844540000000001
2016-07-17,3,0.339992
2016-07-24,5,0.042625699999999996
2016-07-31,5,0.7541479999999999
2016-08-07,2,0.324675
2016-08-14,1,0.254842
2016-08-21,0,0.255973
2016-08-28,2,0.366898
2016-09-04,6,0.568788
2016-09-11,6,0.373274
2016-09-18,8,0.9548610000000001
2016-09-25,8,0.768597
2016-10-02,7,0.980667
2016-10-09,8,1.11524
2016-10-16,6,0.9496180000000001
2016-10-23,8,1.1312200000000001
2016-10-30,5,0.951427
2016-11-06,5,1.41216
2016-11-13,8,1.27009
2016-11-20,4,0.976864
2016-11-27,7,0.886824
2016-12-04,8,1.07108
2016-12-11,6,1.4914399999999999
2016-12-18,13,0.935866
2016-12-25,7,1.57013
2017-01-01,10,1.3245
2017-01-08,16,1.26724
2017-01-15,17,1.9268599999999998
2017-01-22,24,2.62467
2017-01-29,32,2.67524
2017-02-05,44,3.42476
2017-02-12,57,3.6865
2017-02-19,66,3.14223
2017-02-26,37,3.40217
2017-03-05,34,2.49126
2017-03-12,30,2.5539099999999997
2017-03-19,30,2.53512
2017-03-26,26,2.12182
